Date,F,CAT,DIS,MCD,KO,PEP,WMT,C,WFC,JPM,AAPL,IBM,PFE,JNJ,XOM,MRO,ED,T,VZ,NEM
2014-01-31,12.43210008,82.74435409,69.29107513,83.74095804,33.57189237,72.24123246,67.51933547,46.15191311,40.46594258,50.17827109,66.54100428,154.9113024,26.3305534,79.25515921,80.5961158,30.25305919,46.934304,27.45031374,40.97379923,21.1038333
2014-02-28,12.78943986,85.44052834,77.11626197,85.33325127,33.90920911,71.98053114,67.53741778,47.31957694,41.7108497,51.50161422,70.36541176,163.2382739,28.04756965,83.12011532,84.78105413,31.08490432,48.91619779,26.30517761,40.59836251,22.72570197
2014-03-31,12.96395463,87.55517481,76.41008657,87.91611794,34.58961813,75.5891965,69.54627774,46.31733215,44.69404705,55.02750791,71.7694039,169.6912855,28.05630449,88.63318419,86.0227835,32.95927766,46.82165944,28.8920319,40.58982985,23.04264466
2014-04-30,13.52489498,93.40957191,75.71345408,90.9204941,36.49535757,77.75276751,72.53086221,46.61897864,44.60419171,51.05904313,78.90302111,173.1998902,27.32257797,91.39423014,90.18830117,33.54385944,50.64419193,29.79463658,40.31143457,24.40908136
2014-05-31,13.76775687,90.60019485,80.16999342,91.69241193,36.60272317,79.96160152,70.28575692,46.29783237,45.95188721,50.68508444,85.11426173,163.4686202,26.11320904,92.18236143,89.13185315,34.19849135,48.55938213,29.60268234,43.09778026,22.50196827
2014-06-30,14.4377207,96.30757286,81.82091698,91.06865403,38.18604263,81.48181266,68.72934443,45.84040162,47.56264655,52.55487791,87.46868626,160.728774,26.15727453,95.05340679,89.26484607,37.23960105,50.96925512,29.51087814,42.20925516,25.03618656
2014-07-31,14.35552447,89.85588455,81.95451773,85.4819528,35.41854615,80.35088085,67.36519466,47.61172924,46.06047773,52.96595411,89.9817756,169.9502627,25.51834602,90.93763607,87.72212823,36.14815984,49.51273847,30.08706474,43.96736465,24.51459934
2014-08-31,14.68447009,97.27624147,85.77168204,85.45156605,37.60910525,84.35474427,69.57018228,50.27899847,46.87458846,54.60076247,96.95620681,171.5174206,26.13185329,94.88466691,88.79946111,39.10054401,51.67625165,29.55447551,43.44415127,26.65999583
2014-09-30,12.47463025,88.32186846,84.96053463,86.44540096,38.73608219,85.50154658,70.46399786,50.44448597,47.26642502,55.32632348,95.30085693,169.3143627,26.29189867,97.5007871,83.96932754,35.25520387,50.57827636,29.79118184,43.59239506,22.70632795
2014-10-31,11.99101063,91.12353154,87.20311866,85.4606838,38.02782752,88.33047304,70.27970599,52.11889976,48.37814738,55.92435923,102.158735,146.6326778,26.62977224,98.58931264,86.34421761,33.20122951,56.55911736,29.838475,44.30238768,18.4802912
2014-11-30,13.38669959,90.39569345,88.28146758,89.04871229,40.98680535,91.94010971,80.66455307,52.54730096,49.96937879,55.62846315,112.9839974,145.6291155,27.93646021,99.66185885,81.41300055,27.30272261,56.93032019,30.30095424,44.60214513,18.12565875
2014-12-31,13.19096273,82.24570399,91.01129651,86.18804195,38.60055592,87.43031523,79.58212579,52.68361043,50.28122881,57.86617726,104.8614616,144.0755706,27.93646021,96.27381598,83.13046058,26.70795375,59.50863714,28.76792122,41.24309842,18.64191524
2015-01-31,12.64851065,72.45483283,87.89030184,85.02905654,37.64057052,86.70912608,78.74812587,45.72195404,47.62133163,50.60570827,111.30249,137.6728106,28.02614387,92.19527525,78.6075161,25.1124627,62.45657296,28.59359879,41.25499435,24.80656975
